非晶态装甲云	Nube de blindaje amorfa
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Lanzar interceptor
锁定空中	Fijar objetivo aéreo
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Robots de reparación
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
护盾充能	Recarga de escudo
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>  en el suelo para atacar automáticamente<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Velo microbiano
充能器超载	Sobrecarga de batería
稳定瞄准	Selección estable de objetivo
禁用拦截机	Deshabilitar interceptores
缠绕	Enredar
拦截机限时生命	Interceptor: duración limitada
拦截机 漫游	Interceptor: vagar
恢复力场	Campo de restauración
正在折跃	Invocando
干扰矩阵	Matriz de interferencia
护甲降低	Reducción de blindaje
反护甲飞弹追踪	Objetivo de misil antiblindaje
共鸣之刃	Gujas resonantes
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	El daño a distancia sufrido se reduce un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Ritmo de restauración aumentado. No consume energía.
该单位的护甲已被削减。	La unidad sufre una reducción de armadura.
该单位正在专心地瞄准。	Esta unidad apunta con cuidado.
该建筑当前处于加速运作状态。	Esta estructura se encuentra en aceleración.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	El objetivo está afectado por crecimiento fúngico. Queda detectado y su movimiento, restringido.
该单位被困在了地面，其武器失效。	Esta unidad ha sido derribada y sus armas están deshabilitadas.
该单位的移动速度提高了。	Esta unidad se mueve más rápido.
该单位正受到感染者的控制。	Esta unidad está controlada por un infestador.
这个水晶塔可以为附近的友方单位恢复护盾。	Este pilón restaura escudos a las unidades amistosas cercanas.
单位的护盾正在恢复。	Se están restaurando los escudos de la unidad.
该单位无敌并能穿过其它单位。	Esta unidad es invulnerable y puede pasar a través de otras unidades.
该水晶塔拥有强大的远程攻击能力。	Este pilón tiene un potente ataque de largo alcance.
武器和技能被禁用。	Las armas y las habilidades están deshabilitadas.
该单位的护甲被降低了。	Esta unidad tiene armadura reducida.
该单位正被一枚反护甲飞弹追踪。	Esta unidad es el objetivo de un misil antiblindaje.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Velocidad de ataque de la adepta aumentada un <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	Esta unidad está aturdida.
该单位的攻击和移动速度降低50%。	Se ha reducido un 50% la velocidad de ataque y de movimiento de esta unidad.
该单位正在持续恢复生命值。	Esta unidad está regenerando salud.
静滞陷阱	Trampa de estasis
研究共鸣之刃	Investigar gujas resonantes
护盾扩增	Amplificación de escudo
航母舱容	Capacidad del portanaves
高级通信阵列	Despliegue de comunicaciones avanzadas
地对空瞄准	Objetivo superficie a aire
高速发射器	Lanzadores de disparo rápido
研究电磁力场加速器	Investigar acelerador magnético
暗影步	Zancada sombría
钻地之爪	Garras perforadoras
强化冲击波	Ondas de choque mejoradas
进化微生物环绕云	Evolucionar velo microbiano
进化适应之爪	Evolucionar garras adaptables
进化深槽脊刺	Evolucionar espinas estriadas
进化肌腱扩增	Evolucionar aumento muscular
进化挤压蠕动	Evolucionar propulsión peristáltica
扩大攻击范围	Alcance de ataque aumentado
提高移动速度	Velocidad de movimiento aumentada
选择幼虫	Seleccionar larva
磁场发射器	Lanzadores de campo magnético
侦测器模式	Modo observador
监察模式	Modo vigilancia
变异腹囊	Mutar bolsas ventrales
取消超距视界	Cancelar guarda
超距视界	Guarda
战术召回	Retirada estratégica
钻地鳞片	Escamas subterráneas
灵能奔涌	Oleada psiónica
快速二次点火系统	Sistema de reignición acelerada
强化弹药	Munición mejorada
精调炸弹	Explosivos recalibrados
建造修理无人机	Construir robot de reparación
研究强化弹药	Investigar munición mejorada
反护甲飞弹	Misil antiblindaje
研究护盾扩增	Investigar amplificación de escudo
研究增能护盾	Investigar protección amplificada
研究穿甲火箭	Investigar cohetes perforadores de armadura
研究航母舱容	Investigar capacidad del portanaves
研究高级通信阵列	Investigar despliegue de comunicaciones avanzadas
研究高速发射器	Investigar lanzadores de disparo rápido
研究暗影步	Investigar zancada sombría
研究强化冲击波	Investigar ondas de choque mejoradas
研究磁场发射器	Investigar lanzadores de campo magnético
