时空提速	Reforço temporal	3
时空提速	Reforço Temporal	2
该单位的护甲被降低了。	Esta unidade tem blindagem reduzida.	1
该单位的护甲被降低了。	Esta unidade está com a blindagem reduzida.	1
KD8型炸弹	KD8 Charge	2
KD8型炸弹	Carga de KD8	1
恢复	Restituição	1
恢复	Restaurar	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Veículo de ataque móvel. Usa Trava para disparar rapidamente em movimento.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres.</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Veículo de ataque móvel. Usa Trava para disparar rapidamente em movimento.<n/><n/><c val="#ColorAttackInfo">Ataca unidades aéreas e terrestres.</c>	1
拦截机	Interceptores	3
拦截机	Interceptor	1
人类战车和舰船钢板等级2	Terran Vehicle And Ship Plating Level 2	1
人类战车和舰船钢板等级2	Blindagem Veicular e Aeroespacial Terrana Nível 2	1
瓦解射线	Feixe de Distúrbio	2
瓦解射线	Feixe de distúrbio	1
棱镜光束	Feixe prismático	2
棱镜光束	Feixe Prismático	15
雷兽武器冷却时间	Recarga do Armamento do Mammuthus	1
雷兽武器冷却时间	Recarga do armamento do Mammuthus	1
猎杀飞弹	Míssil teleguiado	3
猎杀飞弹	Rastreador	1
群体召回	Convocação em massa	2
群体召回	Convocação em Massa	5
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	Permite que os Gafanhotos gerados pelo Hospedeiro voem. Gafanhotos Voadores usam Rasante para pousar e atacar.	1
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	Os Gafanhotos gerados pelo Hospedeiro voam. Gafanhotos Voadores usam Rasante para pousar e atacar.	1
人类战车和舰船装甲等级2	Revestimento veicular e aeroespacial Terrano Nível 2	1
人类战车和舰船装甲等级2	Veículo terrano e Blindagem de veículo Nível 2	1
人类战车和舰船装甲等级1	Revestimento veicular e aeroespacial Terrano Nível 1	1
人类战车和舰船装甲等级1	Veículo terrano e Blindagem de veículo Nível 1	1
岩石	Rochas	12
岩石	Rocha	6
强酸脊刺	Espinhos Ácidos	2
强酸脊刺	Espinhos ácidos	1
