非晶态装甲云	Zasłona amorficzna
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Wypuszczenie przechwytywacza
锁定空中	Namierzanie powietrzne
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Roboty naprawcze
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
护盾充能	Doładowanie osłon
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> – ziemię, aby automatycznie zaatakować.<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – aby anulować.
Combat_Mechanic_KillTransport_TransportOverlord	Walka_Mechaniczne_ZabijTransport_TransportNadrządca
Combat_Spells_PhasePrism_Adept	Walka_Zdolności_PryzmatFazowy_Adept
微生物环绕云	Kłębowisko mikrobów
充能器超载	Przeciążenie generatora
稳定瞄准	Wycelowanie
禁用拦截机	Wyłącz przechwytywacze
缠绕	Usidlenie
拦截机限时生命	Przechwytywacz Ograniczony czas życia
拦截机 漫游	Przechwytywacz Wędrówka
恢复力场	Pole regenerujące
正在折跃	Przyzywanie
干扰矩阵	Matryca zakłócająca
护甲降低	Osłabienie pancerza
反护甲飞弹追踪	Namierzanie pociskami
共鸣之刃	Rezonujące ostrza
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	Otrzymywane obrażenia dystansowe są zmniejszone o <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Zwiększone tempo przywracania osłon. Brak zużycia energii.
该单位的护甲已被削减。	Pancerz tej jednostki został osłabiony.
该单位正在专心地瞄准。	Ta jednostka przymierza się do strzału.
该建筑当前处于加速运作状态。	Ta budowla znajduje się w stanie przyspieszenia.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	Cel zostaje dotknięty przyrostem grzybni, wykryty i ma ograniczoną zdolność ruchu.
该单位被困在了地面，其武器失效。	Ta jednostka jest uziemiona, a jej uzbrojenie wyłączone.
该单位的移动速度提高了。	Szybkość ruchu tej jednostki została zwiększona.
该单位正受到感染者的控制。	Ta jednostka jest kontrolowana przez infektora.
这个水晶塔可以为附近的友方单位恢复护盾。	Ten pylon przywraca osłony pobliskich jednostek sojuszniczych.
单位的护盾正在恢复。	Osłony jednostki zostają przywrócone.
该单位无敌并能穿过其它单位。	Jednostka jest niewrażliwa na ataki i może przenikać przez inne jednostki.
该水晶塔拥有强大的远程攻击能力。	Ten pylon dysponuje potężnym atakiem dalekiego zasięgu.
武器和技能被禁用。	Uzbrojenie i zdolności zostają wyłączone.
该单位正被一枚反护甲飞弹追踪。	Ta jednostka jest namierzana przez pocisk przeciwpancerny.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Szybkość ataku adepta zostaje zwiększona o <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位的攻击和移动速度降低50%。	Szybkość ruchu i ataku tej jednostki została zmniejszona o 50%.
该单位正在持续恢复生命值。	Ta jednostka odzyskuje zdrowie.
静滞陷阱	Okowy zastoju
研究共鸣之刃	Opracuj rezonujące ostrza
护盾扩增	Wzmocnienie osłon
航母舱容	Pojemność lotniskowca
高级通信阵列	Zaawansowany system komunikacji
地对空瞄准	Namierzanie ziemia-powietrze
高速发射器	Szybkostrzelne wyrzutnie
研究电磁力场加速器	Opracuj akcelerator pola magnetycznego
暗影步	Mroczne przejście
钻地之爪	Szpony drążące
强化冲击波	Wzmocniona fala uderzeniowa
进化微生物环绕云	Wyewoluuj kłębowisko mikrobów
进化适应之爪	Wyewoluuj adaptabilne szpony
进化深槽脊刺	Wyewoluuj rowkowane kolce
进化肌腱扩增	Wyewoluuj wzmocnienia mięśni
进化挤压蠕动	Wyewoluuj perystaltykę propulsyjną
扩大攻击范围	Zwiększenie zasięgu ataku
提高移动速度	Zwiększenie szybkości ruchu
选择幼虫	Wybierz larwę
磁场发射器	Wyrzutnie magnetyczne
侦测器模式	Tryb obserwatora
监察模式	Tryb nadzoru
变异腹囊	Zmutuj komory brzuszne
取消超距视界	Anuluj nadzór
超距视界	Nadzór
战术召回	Strategiczne przywołanie
钻地鳞片	Podziemne łuski
灵能奔涌	Szarża psioniczna
快速二次点火系统	Układ szybkiego rozruchu
强化弹药	Ulepszona amunicja
精调炸弹	Skalibrowane ładunki wybuchowe
建造修理无人机	Stwórz drona naprawczego
研究强化弹药	Opracuj ulepszoną amunicję
反护甲飞弹	Pocisk przeciwpancerny
研究护盾扩增	Opracuj wzmocnienie osłon
研究增能护盾	Opracuj wzmocnione osłony
