时空提速能量消耗	超時空加速能量消耗	1
时空提速能量消耗	Chrono Boost Energy Cost	1
黑暗圣堂武士闪现	黑暗聖堂武士 - 暗影步法	1
黑暗圣堂武士闪现	Dark Templar Blink	1
星灵枢纽护盾充能	星核護盾充能	1
星灵枢纽护盾充能	Nexus Shield Recharge	1
修理	修復	3
修理	Repair	2
时空提速	超時空加速	3
时空提速	Chrono Boost	2
哺液	輸血	2
哺液	Transfusion	1
恢复	復原	1
恢复	還原	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	機動突擊載具。可以使用鎖定目標技能，在移動狀態下快速攻擊目標。<n/><n/><c val="#ColorAttackInfo">可攻擊地面單位。</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	機動突擊載具。可以使用鎖定目標技能，在移動狀態下快速攻擊目標。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>	1
拦截机	Interceptors	2
拦截机	攔截機	2
人类战车和舰船钢板等级2	人類載具和船艦的合金板等級2	1
人类战车和舰船钢板等级2	人類載具與船艦的合金板等級2	1
瓦解射线	Disruption Beam	2
瓦解射线	干擾光束	1
棱镜光束	稜鏡光束	2
棱镜光束	Prismatic Beam	15
猎杀飞弹	導引飛彈	3
猎杀飞弹	獵殺導引飛彈	1
群体召回	群體召喚	2
群体召回	Mass Recall	5
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	讓百生獸孵化出來的蝗蟲具備飛行能力。飛行蝗蟲可以使用俯衝降落地面展開攻擊。	1
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	百生獸孵化出來的蝗蟲具備飛行能力。飛行蝗蟲可以使用俯衝降落地面展開攻擊。	1
强酸脊刺	Acid Spines	2
强酸脊刺	強酸脊刺	1
自由射击	自由開火	2
自由射击	Weapons Free	1
治疗	治療	2
治疗	Heal	1
迷宫式隐形迷彩	動能熾焰	1
迷宫式隐形迷彩	迷境護罩	2
全部卸载	全部卸載	5
全部卸载	卸載全部	1
大和炮	大和砲	3
大和炮	大和流師範	2
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	威力強大的皇家守衛戰艦。可以使用大和砲和戰術躍傳。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	威力強大的皇家守衛戰艦。可以使用大和砲和戰術躍傳。由星際港生產。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>	1
建造在瓦斯气泉上，用于采集高能瓦斯。	躍傳在高能瓦斯湧源上方，以採集高能瓦斯。	2
建造在瓦斯气泉上，用于采集高能瓦斯。	在高能瓦斯湧源上方突變以採集高能瓦斯。	2
建造在瓦斯气泉上，用于采集高能瓦斯。	建造在高能瓦斯湧源上方，以採集高能瓦斯。	2
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	對空特種單位。可以切換為勞工。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>	1
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	反步兵特種單位。可以切換為勞工。<n/><n/><c val="#ColorAttackInfo">可攻擊地面單位。</c>	1
空对空激光炮组	ATA Laser Battery	2
空对空激光炮组	ATA雷射砲	2
空对地激光炮组	ATS Laser Battery	2
空对地激光炮组	ATS雷射砲	2
C-10型霰弹步枪	C-10 Canister Rifle	1
C-10型霰弹步枪	C-10步槍	1
+~A~%	+~A~%	44
+~A~%	-~A~%	1
长箭飞弹	Longbolt Missile	3
长箭飞弹	神箭手飛彈	2
骨针	Needle Spines	3
骨针	針脊刺	2
惩罚者榴弹	Punisher Grenades	4
惩罚者榴弹	制裁者榴彈	2
利爪	Talons	2
利爪	蟲爪	6
Lurker Tunneling Burst	遁地獸穿隧爆發	1
