非晶态装甲云	Аморфное бронеоблако
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Запуск перехватчика
锁定空中	Захват воздушной цели
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Ремонтные дроны
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
护盾充能	Перезарядка щита
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> (по земле) – автоатака<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> – отмена
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Микробная завеса
充能器超载	Перегрузка щита
稳定瞄准	Точное прицеливание
禁用拦截机	Отключить перехватчики
缠绕	Связывание
拦截机限时生命	Перехватчики: время существования
拦截机 漫游	Перехватчики: блуждание
神经寄生子	Жертвы нейропаразита
恢复力场	Заряжающее поле
正在折跃	Вызов
干扰矩阵	Инвазивная матрица
护甲降低	Ослабление брони
反护甲飞弹追踪	Захват цели бронебойной ракетой
共鸣之刃	Резонирующие глефы
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	Получаемый в дальнем бою урон уменьшен на <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Скорость перезарядки щита повышена. Не расходует энергию.
该单位的护甲已被削减。	Броня этой боевой единицы ослаблена.
该单位正在专心地瞄准。	Эта боевая единица осуществляет точное прицеливание.
该建筑当前处于加速运作状态。	Это строение функционирует с повышенной скоростью.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	Цель поражена микозом. Она распознана, и ее передвижение ограничено.
该单位被困在了地面，其武器失效。	Невозможно подняться в воздух, орудия выведены из строя.
该单位的移动速度提高了。	Скорость передвижения этой единицы увеличена.
该单位正受到感染者的控制。	Эта единица контролируется заразителем.
这个水晶塔可以为附近的友方单位恢复护盾。	Этот пилон восстанавливает щиты находящимся поблизости союзным войскам.
单位的护盾正在恢复。	Восстановление щитов.
该单位无敌并能穿过其它单位。	Эта боевая единица неуязвима и может проходить сквозь другие боевые единицы.
该水晶塔拥有强大的远程攻击能力。	Этот пилон может наносить большой урон целям на значительном расстоянии.
武器和技能被禁用。	Вооружение и способности недоступны.
该单位的护甲被降低了。	Броня ослаблена.
该单位正被一枚反护甲飞弹追踪。	Эта боевая единица является целью бронебойной ракеты.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Скорость атаки адепта повышена на <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	Оглушение.
该单位的攻击和移动速度降低50%。	Скорость атаки и передвижения снижена на 50%.
该单位正在持续恢复生命值。	Восстановление здоровья.
静滞陷阱	Стазисная ловушка
研究共鸣之刃	Разработать резонирующие глефы
护盾扩增	Улучшенные щиты
航母舱容	Вместимость авианосцев
高级通信阵列	Улучшенные антенны
地对空瞄准	Система наведения земля-воздух
高速发射器	Скорострельные пусковые установки
研究电磁力场加速器	Разработать ускоритель магнитного поля
暗影步	Поступь тени
钻地之爪	Когти для бурения
强化冲击波	Усиленные волны
进化微生物环绕云	Развить способность «Микробная завеса»
进化适应之爪	Развить адаптивные когти
进化深槽脊刺	Развить полые костяные иглы
进化肌腱扩增	Развить наращивание мускулов
进化挤压蠕动	Развить реактивную перистальтику
扩大攻击范围	Увеличенная дальность атаки
提高移动速度	Повышенная скорость передвижения
选择幼虫	Выбрать личинок
磁场发射器	Магнитные пусковые установки
侦测器模式	Режим наблюдателя
监察模式	Режим разведки
变异腹囊	Развить брюшные мешки
取消超距视界	Прекратить наблюдение
超距视界	Наблюдение
战术召回	Стратегический скачок
钻地鳞片	Подземная чешуя
灵能奔涌	Псионная волна
快速二次点火系统	Система повторного зажигания
强化弹药	Улучшенный боезапас
精调炸弹	Перекалиброванная взрывчатка
建造修理无人机	Создать ремонтный дрон
研究强化弹药	Разработать улучшенный боезапас
反护甲飞弹	Бронебойная ракета
研究护盾扩增	Разработать улучшенные щиты
研究增能护盾	Разработать усиленные щиты
研究穿甲火箭	Разработать бронебойные ракеты
研究航母舱容	Разработать увеличение вместимости авианосцев
研究高级通信阵列	Разработать улучшенные антенны
研究高速发射器	Разработать скорострельные пусковые установки
研究暗影步	Разработать способность «Поступь тени»
研究强化冲击波	Разработать усиленные волны
研究磁场发射器	Разработать магнитные пусковые установки
研究灵能增幅	Разработать псионные усилители
研究灵能奔涌	Разработать псионную волну
研究快速二次点火系统	Разработать систему повторного зажигания
