削减护甲	Bypass Armor	1
削减护甲	Reducción de armadura	3
修理	Repair	4
修理	Reparar	1
干扰冲击	Disruption Blast	1
干扰冲击	Descarga de disrupción	2
时空提速	Chrono Boost	3
时空提速	Aceleración cronos	2
星灵枢纽护盾超载	Nexus Shield Overcharge	1
星灵枢纽护盾超载	Sobrecarga de escudo del nexo	2
相位变换	Phase Shift	1
相位变换	Cambio de fase	2
哺液	Transfusion	2
哺液	Transfusión	1
KD8型炸弹	KD8 Charge	1
KD8型炸弹	Carga KD8	2
星灵枢纽护盾超载关闭	Nexus Shield Overcharge Off	1
星灵枢纽护盾超载关闭	Sobrecarga de escudo del nexo desactivada	1
净化新星	Purification Nova	1
净化新星	Nova de purificación	2
变异为破坏者	Morph To Ravager	1
变异为破坏者	Mutar en asolador	1
恢复	Restitution	1
恢复	Restaurar	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Vehículo de asalto móvil. Puede utilizar fijar objetivo para disparar rápidamente mientras se mueve.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Vehículo de asalto móvil. Puede utilizar fijar objetivo para disparar rápidamente mientras se mueve.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>	1
拦截机	Interceptors	2
拦截机	Interceptor	1
拦截机	Interceptores	1
瓦解射线	Disruption Beam	2
瓦解射线	Haz de disrupción	1
脉冲光线	Pulsar Beam	1
脉冲光线	Rayo de pulsos	4
棱镜光束	Haz prismático	2
棱镜光束	Prismatic Beam	15
预视	Envision	1
预视	Visión	2
先知武器	Oracle Weapon	1
先知武器	Arma de oráculo	1
雷兽武器冷却时间	Ultralisk Weapon Cooldown	1
雷兽武器冷却时间	Tiempo de reutilización de arma de ultralisco	1
虫群之心虚空辉光舰伤害提升	Void Ray Swarm Damage Boost	1
虫群之心虚空辉光舰伤害提升	Aumento de daño de rayo de vacío de Swarm	1
虚空虹吸	Void Siphon	1
虚空虹吸	Vacío succionador	2
猎杀飞弹	Seeker Missile	1
猎杀飞弹	Misil rastreador	2
猎杀飞弹	Rastreador	1
群体召回	Mass Recall	6
群体召回	Retirada en masa	1
孵化蝗虫	Spawn Locusts	1
孵化蝗虫	Engendrar langostas	1
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	Permite volar a las langostas engendradas por el gestador. Las langostas voladoras pueden utilizar descenso en picado para bajar al suelo y atacar.	1
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	Las langostas engendradas por el gestador pueden volar. Las langostas voladoras pueden utilizar descenso en picado para bajar al suelo y atacar.	1
