Amorphous Armorcloud	無定型防護雲
Battery Overcharge	充能器超載
Battlecruiser Attack	戰巡艦攻擊
Battlecruiser Attack Evaluator	戰巡艦攻擊評估器
Battlecruiser Move	戰巡艦移動
Battlecruiser Stop	戰巡艦停止
Battlecruiser Stop Evaluator	戰巡艦停止評估器
Bypass Armor	穿甲
Bypass Armor Drone CU	穿甲無人機CU
Channel Snipe	引導狙擊
Dark Shrine Research	黑暗聖殿研發
Infestation Pit Research	感染巢研發
Infestor Ensnare	感染蟲黏液
Launch Interceptors	發射攔截機
Locust MP Flying Swoop Attack	蝗蟲 - 多人對戰 - 飛行俯衝 - 攻擊
Lurker Den Research	遁地獸穴研發
Lurker Remove Hold Fire	Lurker Remove Hold Fire
Morph To Transport Overlord	變形為運輸王蟲
Nexus Mass Recall	星核群體召喚
Nexus Shield Overcharge	星核護盾超載
Nexus Shield Overcharge Off	關閉星核護盾超載
Nexus Shield Recharge On Pylon	星核對水晶塔使用護盾充能
Observer Morph to Observer Siege	觀察者模式轉換為監視模式
Observer Siege Morph to Observer	監視模式轉換為觀察者模式
Overseer Morph to Overseer Siege Mode	監察王蟲變形為監察王蟲監視模式
Overseer Siege Mode Morph to Overseer	監察王蟲監視模式變形為監察王蟲
Purification Nova Targetted	Purification Nova Targetted
Repair Drone	自動維修機
Scrambler Missile	干擾器飛彈
Shredder Missile	粉碎者飛彈
Shield Recharge	護盾充能
Spawn Interceptors	生成攔截機
Spawn Locusts Targeted	孵化蝗蟲指定目標
Disruption Blast	失能震爆
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   點擊地點以自動攻擊<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	微生物護罩
Steady Targeting	精準狙擊
Disable Interceptors	停用攔截機
Entangle	捲入
