Amorphous Armorcloud	무정형 방어구름
Battery Overcharge	충전소 과충전
Battlecruiser Attack	전투순양함 공격
Battlecruiser Attack Evaluator	전투순양함 공격 평가
Battlecruiser Move	전투순양함 이동
Battlecruiser Stop	전투순양함 정지
Battlecruiser Stop Evaluator	전투순양함 정지 평가
Bypass Armor	방어력 감쇠
Bypass Armor Drone CU	Bypass Armor Drone CU
Channel Snipe	저격 집중
Dark Shrine Research	암흑 성소 연구
Infestation Pit Research	감염 구덩이 연구
Infestor Ensnare	감염충 속박
Launch Interceptors	요격기 출격
Locust MP Flying Swoop Attack	식충 MP 비행 급강하 공격
Lurker Den Research	가시지옥 굴 연구
Lurker Remove Hold Fire	가시지옥 공격 중지 제거
Morph To Transport Overlord	수송 대군주로 변태
Nexus Mass Recall	연결체 대규모 귀환
Nexus Shield Overcharge	연결체 보호막 과충전
Nexus Shield Overcharge Off	연결체 보호막 과충전 끄기
Nexus Shield Recharge On Pylon	수정탑에 연결체 보호막 재충전
Observer Morph to Observer Siege	관측선이 관측선 공성으로 변신
Observer Siege Morph to Observer	관측선 공성이 관측선으로 변신
Overseer Morph to Overseer Siege Mode	감시군주가 감시군주 공성 모드로 변태
Overseer Siege Mode Morph to Overseer	감시군주 공성 모드가 감시군주로 변태
Purification Nova Targetted	Purification Nova Targetted
Repair Drone	수리 비행정
Repair	수리
Scrambler Missile	억제 미사일
Shredder Missile	파쇄 미사일
SC2 Battery	SC2 Battery
Shield Recharge	보호막 재충전
Spawn Interceptors	요격기 생성
Spawn Locusts Targeted	식충 생성 대상
Disruption Blast	붕괴 충격
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ground to Auto-attack<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   지점 선택 후 자동 공격<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   취소
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
Microbial Shroud	세균 장막
Steady Targeting	부동 조준
Chrono Boost	시간 증폭
Disable Interceptors	요격기 사용 안 함
Entangle	휘감기
Interceptor Timed Life	요격기 시한 생명
Interceptor Wander	요격기 방황
Neural Parasite Children	신경 기생충 자식
Restoration Field	재충전장
Warping In	소환 중
Phased	위상 전환
Interference Matrix	방해 매트릭스
Armor Reduction	방어력 감소
Anti-Armor Missile Targeting	대장갑 미사일 대상
Resonating Glaives	공명 파열포
Transfusion	수혈
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	공중 유닛으로부터 받는 피해가 <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% 감소합니다.
Restoration rate increased. Not consuming energy.	보호막 회복률 증가 및 에너지를 소모하지 않음
This unit's armor is reduced.	이 유닛은 방어력이 감소했습니다.
This unit is carefully aiming.	이 유닛은 신중하게 목표를 조준하고 있습니다.
This structure is in an accelerated state.	이 구조물은 가속 상태입니다.
Target is affected by Fungal Growth. Target is detected and has restricted movement.	대상이 진균 번식의 영향을 받아 모습이 드러나고 이동 속도가 제한됩니다.
This unit is grounded and weapons are disabled.	이 유닛은 지상으로 떨어져 무기가 비활성화되었습니다.
This unit's movement speed is increased.	이 유닛은 이동 속도가 증가했습니다.
This unit is being controlled by an Infestor.	이 유닛은 감염충이 조종하고 있습니다.
This Pylon restores shields of friendly units nearby.	이 수정탑은 주위 아군 유닛의 보호막을 재충전시킵니다.
Unit's shields are being restored.	유닛의 보호막이 재충전됩니다.
This unit is invulnerable and is able to move through other units.	이 유닛은 무적 상태이며 다른 유닛을 통과하여 이동할 수 있습니다.
This Pylon has a powerful long-ranged attack.	이 수정탑은 강력한 원거리 공격 능력을 가지고 있습니다.
Weapons and abilities are disabled.	무기 및 능력이 비활성화되었습니다.
This unit has reduced armor.	이 유닛은 방어력이 감소했습니다.
This unit is being targeted by an Anti-Armor Missile.	이 유닛은 파쇄 미사일 대상으로 지정되었습니다.
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	사도의 공격 속도가 <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>% 증가했습니다.
This unit is stunned.	이 유닛은 기절했습니다.
This unit's attack and movement speeds are reduced by 50%.	이 유닛은 공격 및 이동 속도가 50%만큼 감소했습니다.
This unit is regenerating health.	이 유닛은 체력을 회복하는 중입니다.
Stasis Trap	정지장 덫
Research Resonating Glaives	공명 파열포 연구
Shield Amplification	보호막 증폭
Carrier Capacity	우주모함 수용력
Advanced Communications Array	고급 통신 배열
Surface-to-Air Targeting	지대공 조준
Rapid Fire Launchers	신속 발사기
Research Mag-Field Accelerator	자기장 가속기 연구
Shadow Stride	그림자 걸음
Drilling Claws	천공 발톱
Enhanced Shockwaves	향상된 충격파
Evolve Microbial Shroud	세균 장막 진화
Evolve Adaptive Talons	적응형 발톱 진화
Evolve Grooved Spines	가시 홈 진화
Evolve Muscular Augments	근육 보강 진화
Evolve Propulsive Peristalsis	추진적 연동 운동 진화
Increased Attack Range	공격 사거리 증가
Increased Movement Speed	이동 속도 증가
Select Larvae	애벌레 선택
Mag-Field Launchers	자기장 발사기
Observer Mode	관측 모드
Surveillance Mode	감시 모드
Mutate Ventral Sacs	배주머니 변이
Cancel Oversight	감시 취소
Oversight	감시
Strategic Recall	전략 소환
Subterranean Scales	지하 비늘
Psionic Surge	사이오닉 쇄도
Purification Nova	정화 폭발
Rapid Reignition System	고속 재점화 시스템
Morph to Ravager	궤멸충으로 변태
Enhanced Munitions	강화 탄약
Recalibrated Explosives	재보정 폭발물
Build Repair Drone	수리 비행정 생산
Research Enhanced Munitions	강화 탄약 연구
Anti-Armor Missile	대장갑 미사일
Research Shield Amplification	보호막 증폭 연구
Research Amplified Shielding	증폭 보호막 연구
Research Armor Piercing Rockets	방어구 관통 로켓 연구
Research Carrier Capacity	우주모함 수용력 연구
Research Advanced Communications Array	고급 통신 배열 연구
Research Rapid Fire Launchers	신속 발사기 연구
Research Shadow Stride	그림자 걸음 연구
Research Enhanced Shockwaves	향상된 충격파 연구
Research Mag-Field Launchers	자기장 발사기 연구
Research Psionic Amplifiers	사이오닉 증폭기 연구
Research Psionic Surge	사이오닉 쇄도 연구
Research Rapid Reignition System	고속 재점화 시스템 연구
Research Recalibrated Explosives	재보정 폭발물 연구
Research Smart Servos	지능형 제어 장치 연구
Warp In Shield Battery	보호막 충전소 소환
Restore	되돌리기
Recharge	재충전
Tectonic Destabilizers	구조 불안정장치
Research Tectonic Destabilizers	구조 불안정장치 연구
Upgrade Neosteel Armor	신소재 강철 장갑 업그레이드
Concealment	은폐
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	주위 적들을 <d ref="Behavior,OracleStasisTrapTarget,Duration"/>초 동안 정지장 안에 가둡니다. 갇힌 유닛은 공격당하지 않으며 능력의 영향을 받지도 않습니다.
Increases the attack speed of Adepts by 45%.	사도의 공격 속도가 45%만큼 증가합니다.
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	<c val="ffff8a">사도</c>의 공격 속도가 45%만큼 증가합니다.
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	장막으로 지상 유닛을 가려 공중 유닛으로부터 받는 피해를 <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% 감소시킵니다. <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>초 동안 지속됩니다.
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	<c val="ffff8a">불사조</c>의 공격 사거리가 <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>만큼 증가합니다.
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	군수공장과 우주공항에서 생산하는 유닛의 무기와 장갑을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 화염기갑병 (군수공장)<n/>- 토르 (군수공장)
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	보병 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 해병<n/>- 사신<n/>- 벙커 (건설로봇 건설)<n/>- 궤도 사령부 (사령부 업그레이드)
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	연결체 근처에 있는 보호막 충전소 하나를 과충전시켜 보호막 회복률을 100% 증가시키고 <d ref="Behavior,BatteryOvercharge,Duration"/>초 동안 에너지를 소모하지 않고 보호막을 충전시키게 만듭니다.
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	차량 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 사이클론<n/>- 공성 전차<n/>- 토르 (무기고 필요)
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	적 유닛에게 광선을 집중시켜 방어력을 3만큼 감소시킵니다.<n/><d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>초 후에 사라집니다.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	선택한 광물 지대에 실험용 채광 기계인 지게로봇을 투하합니다. 지게로봇은 건설로봇보다 더 빠르게 광물을 채취합니다.<n/><n/>지게로봇은 <d ref="Behavior,MULETimedLife,Duration"/>초 후에 작동을 멈춥니다.
Increases the maximum number of Interceptors per Carrier from 8 to 10.	우주모함 하나당 요격기의 최대 숫자가 8대에서 10대로 증가합니다.
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	<c val="ffff8a">요격기</c>의 활동 범위가 <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>만큼 증가합니다.
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	광전사가 주위 적을 향해 돌진하고, 광전사의 이동 속도가 증가합니다. <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>초에 한 번씩만 사용할 수 있습니다.
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	대상 구조물에 시간 증폭을 사용합니다. 해당 건물의 생산 및 연구 속도가 <d ref="Behavior,ChronoBoostEnergyCost,Duration"/>초 동안 <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%만큼 증가합니다.
A barrier that can be destroyed to allow access to new areas.	이 장애물을 파괴하면 새로운 지역에 접근할 수 있습니다.
