时空提速能量消耗	시간 증폭 에너지 비용	1
时空提速能量消耗	Chrono Boost Energy Cost	1
黑暗圣堂武士闪现	암흑 기사 점멸	1
黑暗圣堂武士闪现	Dark Templar Blink	1
星灵枢纽护盾充能	연결체 보호막 재충전	1
星灵枢纽护盾充能	Nexus Shield Recharge	1
恢复	복원	1
恢复	되돌리기	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	기동형 차량입니다. 목표물 고정을 사용해 이동 중에도 공격할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	기동형 차량입니다. 목표물 고정을 사용해 이동 중에도 공격할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>	1
群体召回	대규모 소환	2
群体召回	대규모 귀환	5
岩石	바위	15
岩石	암석	3
<s val="Kicker_Minerals">113</s> <IMG path="Assets\Textures\icon-mineral-protoss.dds" height="28" width="28"/>	<s val="Kicker_Minerals">113</s> <IMG path="Assets\Textures\icon-mineral-protoss.dds" height="28" width="29"/>	1
<s val="Kicker_Minerals">113</s> <IMG path="Assets\Textures\icon-mineral-protoss.dds" height="28" width="28"/>	<s val="Kicker_Minerals">113</s> <IMG path="Assets\Textures\icon-mineral-protoss.dds" height="28" width="28"/>	3
攻城模式	공성	1
攻城模式	공성 모드	1
迷宫式隐形迷彩	염화 제물	1
迷宫式隐形迷彩	미로 은폐	2
大和炮	야마토 포	2
大和炮	야마토 대폭발	2
大和炮	야마토	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	강력한 근위대 전함입니다. 야마토 포와 전술 차원 도약을 사용할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	강력한 근위대 전함입니다. 야마토 포와 전술 차원 도약을 사용할 수 있습니다. 우주공항에서 생산할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛을 공격할 수 있습니다.</c>	1
<n/><n/><c val="ffff8a">该单位每升一级军阶将会解锁新的技能或被动加成效果。</c><n/>	<n/><n/><c val="ffff8a">이 유닛은 등급이 오를 때마다 새로운 능력 또는 지속 능력 효과를 얻습니다.</c><n/>	1
<n/><n/><c val="ffff8a">该单位每升一级军阶将会解锁新的技能或被动加成效果。</c><n/>	<n/><n/><c val="ffff8a">이 유닛은 등급이 오를 때마다 새로운 능력 또는 지속 능력을 얻습니다.</c><n/>	1
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	대공 전문 공격 유닛입니다. 인부복으로 갈아입을 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>	1
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	대보병 전문 공격 유닛입니다. 인부복으로 갈아입을 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>	1
B-2大口径轻机枪	B-2 High-Cal LMG	1
B-2大口径轻机枪	B-2 대구경 경기관총	1
+~A~%	+~A~%	44
+~A~%	+ ~A~%	1
