削减护甲	Bypass Armor	1
削减护甲	Contournement d’armure	3
修理	Repair	4
修理	Réparer	1
干扰冲击	Disruption Blast	1
干扰冲击	Choc disrupteur	2
时空提速	Chrono Boost	3
时空提速	Poussée temporelle	2
星灵枢纽护盾超载	Nexus Shield Overcharge	1
星灵枢纽护盾超载	Surcharge de bouclier du Nexus	2
相位变换	Phase Shift	1
相位变换	Déphasage	2
KD8型炸弹	KD8 Charge	1
KD8型炸弹	Charge de KD-8	2
星灵枢纽护盾超载关闭	Nexus Shield Overcharge Off	1
星灵枢纽护盾超载关闭	Surcharge de bouclier du Nexus désactivée	1
净化新星	Purification Nova	1
净化新星	Nova purificatrice	2
变异为破坏者	Morph To Ravager	1
变异为破坏者	Transformer en saccageur	1
恢复	Restitution	1
恢复	Restaurer	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Véhicule d’assaut mobile. Capable de verrouiller sa cible pour tirer en se déplaçant.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Véhicule d’assaut mobile. Capable de verrouiller sa cible pour tirer en se déplaçant.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>	1
拦截机	Interceptors	2
拦截机	Intercepteur	1
拦截机	Intercepteurs	1
瓦解射线	Disruption Beam	2
瓦解射线	Rayon disrupteur	1
脉冲光线	Pulsar Beam	1
脉冲光线	Rayon pulsar	4
棱镜光束	Rayon prismatique	2
棱镜光束	Prismatic Beam	15
预视	Envision	1
预视	Visualisation	2
先知武器	Oracle Weapon	1
先知武器	Arme de l’Oracle	1
脉冲冲击波	Explosion pulsar	1
脉冲冲击波	Déflagration de pulsar	1
雷兽武器冷却时间	Ultralisk Weapon Cooldown	1
雷兽武器冷却时间	Temps de recharge de l’arme de l’ultralisk	1
虫群之心虚空辉光舰伤害提升	Void Ray Swarm Damage Boost	1
虫群之心虚空辉光舰伤害提升	Bonus de dégâts HotS du Disloqueur	1
虚空虹吸	Void Siphon	1
虚空虹吸	Siphon du Vide	2
猎杀飞弹	Seeker Missile	1
猎杀飞弹	Missile à tête chercheuse	2
猎杀飞弹	Tête chercheuse	1
群体召回	Mass Recall	6
群体召回	Rappel en masse	1
