非晶态装甲云	Nimboarmadura amorfa
战列巡航舰攻击	Ataque de Crucero de batalla
Battlecruiser Attack Evaluator	Evaluador de ataque de Crucero de batalla
战列巡航舰移动	Movimiento de Crucero de batalla
战列巡航舰停止	Detenimiento de Crucero de batalla
Battlecruiser Stop Evaluator	Evaluador de detenimiento de Crucero de batalla
削减护甲	Penetración de armadura
Bypass Armor Drone CU	Dron de Penetración de armadura - CU
引导狙击	Disparo de precisión
时空提速能量消耗	Costo de energía de Cronoimpulso
黑暗圣坛研究	Investigación de Sagrario oscuro
感染深渊研究	Foso de infestación - Investigar
Infestor Ensnare	Atrapar Infestador
发射拦截机	Interceptor - Lanzar
锁定空中	Fijar objetivo aéreo
蝗虫 多人游戏飞行 飞扑攻击	Langosta - MP - Volador - Descenso en picada - Ataque
潜伏者巢穴研究	Investigación del Cubil de Acechadores
潜伏者 移除 停火	Acechador - Quitar - Detener fuego
变异为具有装载功能的王虫	Transformar en Amo Supremo de transporte
星灵枢纽群体召回	Repliegue en masa del Nexo
Nexus Shield Overcharge	Sobrecarga de escudo del Nexo
Nexus Shield Overcharge Off	Sobrecarga de escudo del Nexo desactivada
Nexus Shield Recharge On Pylon	Recarga de escudos del Nexo en un Pilón
Observer Morph to Observer Siege	Transformación de Observador en Observador de asedio
Observer Siege Morph to Observer	Transformación de Observador de asedio en Observador
Overseer Morph to Overseer Siege Mode	Transformación de Vigía supremo a modo asedio de Vigía supremo
Overseer Siege Mode Morph to Overseer	Transformación de modo asedio de Vigía supremo a Vigía supremo
净化新星已定位	Nova purificadora - Dirigida
修理无人机	Drones de reparación
修理	Reparar
扰频飞弹	Misil desmodulador
粉碎飞弹	Misil destructor
护盾充能	Recarga de escudos
生成拦截机	Engendrar interceptores
孵化蝗虫瞄准	Engendrar langostas - Objetivo
干扰冲击	Explosión disruptora
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   en el terreno para Atacar automáticamente<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Velo microbiano
充能器超载	Sobrecarga de batería
稳定瞄准	Puntería firme
时空提速	Cronoimpulso
禁用拦截机	Deshabilitar interceptores
缠绕	Enredar
拦截机限时生命	Interceptor - Duración limitada
拦截机 漫游	Interceptor - Deambular
星灵枢纽护盾超载	Sobrecarga de escudo del Nexo
恢复力场	Campo de restauración
正在折跃	Transposicionando
相位变换	Conmutación de fase
干扰矩阵	Matriz de interferencia
护甲降低	Reducción de armadura
反护甲飞弹追踪	Objetivo de Misil antiblindaje
共鸣之刃	Gladias vibrantes
哺液	Transfusión
