非晶态装甲云	無定型防護雲
战列巡航舰攻击	戰巡艦攻擊
Battlecruiser Attack Evaluator	戰巡艦攻擊評估器
战列巡航舰移动	戰巡艦移動
战列巡航舰停止	戰巡艦停止
Battlecruiser Stop Evaluator	戰巡艦停止評估器
削减护甲	穿甲
Bypass Armor Drone CU	穿甲無人機CU
引导狙击	引導狙擊
黑暗圣坛研究	黑暗聖殿研發
感染深渊研究	感染巢研發
Infestor Ensnare	感染蟲黏液
发射拦截机	發射攔截機
锁定空中	鎖定對空目標
蝗虫 多人游戏飞行 飞扑攻击	蝗蟲 - 多人對戰 - 飛行俯衝 - 攻擊
潜伏者巢穴研究	遁地獸穴研發
潜伏者 移除 停火	遁地獸移除停止攻擊
变异为具有装载功能的王虫	變形為運輸王蟲
星灵枢纽群体召回	星核群體召喚
Nexus Shield Overcharge	星核護盾超載
Nexus Shield Overcharge Off	關閉星核護盾超載
Nexus Shield Recharge On Pylon	星核對水晶塔使用護盾充能
Observer Morph to Observer Siege	觀察者模式轉換為監視模式
Observer Siege Morph to Observer	監視模式轉換為觀察者模式
Overseer Morph to Overseer Siege Mode	監察王蟲變形為監察王蟲監視模式
Overseer Siege Mode Morph to Overseer	監察王蟲監視模式變形為監察王蟲
净化新星已定位	淨化光球 - 已鎖定
修理无人机	自動維修機
扰频飞弹	干擾器飛彈
粉碎飞弹	粉碎者飛彈
星际争霸Ⅱ充能器	SC2 Battery
护盾充能	護盾充能
生成拦截机	生成攔截機
孵化蝗虫瞄准	孵化蝗蟲指定目標
干扰冲击	失能震爆
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   點擊地點以自動攻擊<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	微生物護罩
充能器超载	充能器超載
稳定瞄准	精準狙擊
禁用拦截机	停用攔截機
缠绕	捲入
拦截机限时生命	攔截機限時生命
拦截机 漫游	攔截機漫遊
神经寄生子	神經寄生宿主
星灵枢纽护盾超载	星核護盾超載
恢复力场	恢復力場
正在折跃	躍傳中
相位变换	相位位移
干扰矩阵	干擾矩陣
护甲降低	裝甲值降低
反护甲飞弹追踪	反裝甲飛彈鎖定
共鸣之刃	共振旋刃
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	吸收<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%遠程傷害。
恢复速度已提高，且不消耗能量。	護盾恢復率提高，不消耗能量。
该单位的护甲已被削减。	這個單位的裝甲值降低了。
该单位正在专心地瞄准。	這個單位正在專心瞄準目標。
该建筑当前处于加速运作状态。	此建築正處於加速運轉狀態。
目标受到霉菌滋生效果的影响。目标现形且移动受限。	目標受到真菌增生影響。目標已被偵測到且移動受到限制。
该单位被困在了地面，其武器失效。	此單位已落地，並且無法使用武器。
该单位的移动速度提高了。	此單位的移動速度已提高。
该单位正受到感染者的控制。	此單位正受到感染蟲操控。
这个水晶塔可以为附近的友方单位恢复护盾。	這座水晶塔會恢復附近友方單位的護盾。
单位的护盾正在恢复。	單位的護盾恢復了。
该单位无敌并能穿过其它单位。	此單位處於無敵狀態，並且可以穿越其他單位。
该水晶塔拥有强大的远程攻击能力。	此水晶塔可發動強大的遠程攻擊。
武器和技能被禁用。	無法使用武器和技能。
该单位的护甲被降低了。	此單位的裝甲值已降低。
该单位正被一枚反护甲飞弹追踪。	此單位已被反裝甲飛彈鎖定。
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	教士的攻擊速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。
该单位已昏迷。	此單位已昏迷。
该单位的攻击和移动速度降低50%。	此單位的攻擊和移動速度降低50%。
该单位正在持续恢复生命值。	此單位正在恢復生命值。
静滞陷阱	靜滯詭雷
研究共鸣之刃	研發共振旋刃
护盾扩增	護盾強化
航母舱容	航空母艦容量
高级通信阵列	進階通訊陣列
地对空瞄准	地對空鎖定
高速发射器	速射發射器
研究电磁力场加速器	研發磁場加速器
暗影步	暗影步法
钻地之爪	鑽地爪
强化冲击波	強化衝擊波
进化微生物环绕云	進化微生物護罩
进化适应之爪	進化適應性掘爪
进化深槽脊刺	進化鑿溝脊刺
进化肌腱扩增	進化肌力增強
进化挤压蠕动	進化蠕動推進
扩大攻击范围	攻擊距離提高
提高移动速度	移動速度提高
KD8型炸弹	KD8炸藥
选择幼虫	選取幼蟲
磁场发射器	磁場發射器
侦测器模式	觀察者模式
监察模式	監視模式
变异腹囊	突變腹腔氣囊
取消超距视界	取消監視模式
超距视界	監視模式
战术召回	戰術召回
星灵枢纽护盾超载关闭	關閉星核護盾超載
