非晶态装甲云	Protezione informe
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Lancio intercettore
锁定空中	Aggancio Aereo
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Droni riparatori
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
护盾充能	Ricarica scudo
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Attacco automatico<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Annulla
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Manto microbico
充能器超载	Sovraccarico batteria
稳定瞄准	Mira salda
禁用拦截机	Disabilita Intercettori
缠绕	Intralcia
拦截机限时生命	Intercettori - Vita a tempo
拦截机 漫游	Intercettori - Allontanamento
恢复力场	Campo ristoratore
正在折跃	Evocazione in corso
干扰矩阵	Matrice d'interferenza
护甲降低	Riduzione corazza
反护甲飞弹追踪	Puntamento Missile anti-blindatura
共鸣之刃	Balestra risonante
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	I danni delle unità aeree sono ridotti del <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Velocità di ripristino aumentata. Non consuma energia.
该单位的护甲已被削减。	La corazza dell'unità è ridotta.
该单位正在专心地瞄准。	Questa unità sta prendendo la mira.
该建筑当前处于加速运作状态。	Questa struttura è in stato di accelerazione.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	Il bersaglio è soggetto a Crescita fungina, è individuato e i suoi movimenti sono limitati.
该单位被困在了地面，其武器失效。	Questa unità è bloccata al suolo e le sue armi sono disabilitate.
该单位的移动速度提高了。	La velocità di movimento di questa unità è aumentata.
该单位正受到感染者的控制。	Questa unità è sotto il controllo di un Infestatore.
这个水晶塔可以为附近的友方单位恢复护盾。	Questo Pilone ripristina gli scudi delle unità alleate vicine.
单位的护盾正在恢复。	Gli scudi dell'unità bersaglio vengono ripristinati.
该单位无敌并能穿过其它单位。	Questa unità è invulnerabile e può oltrepassare altre unità.
该水晶塔拥有强大的远程攻击能力。	Questo Pilone dispone di un potente attacco a lungo raggio.
武器和技能被禁用。	Armi e abilità sono disattivate.
该单位的护甲被降低了。	La corazza di questa unità è ridotta.
该单位正被一枚反护甲飞弹追踪。	Questa unità è stata presa di mira da un Missile perforante.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Velocità d'attacco delle Adepte aumentata del <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	Questa unità è stordita.
该单位的攻击和移动速度降低50%。	La velocità d'attacco e di movimento di questa unità è ridotta del 50%.
该单位正在持续恢复生命值。	Questa unità sta rigenerando punti vita.
静滞陷阱	Trappola di stasi
研究共鸣之刃	Ricerca Balestra risonante
护盾扩增	Scudo amplificato
航母舱容	Portastormo ampliata
高级通信阵列	Sistema di comunicazioni avanzate
地对空瞄准	Puntamento Terra-aria
高速发射器	Lanciamissili dinamico
研究电磁力场加速器	Ricerca Acceleratore di campo magnetico
暗影步	Passo dell'ombra
钻地之爪	Artigli meccanici
强化冲击波	Onda d'urto migliorata
进化微生物环绕云	Evolvi Manto microbico
进化适应之爪	Evolvi Artigli adattivi
进化深槽脊刺	Evolvi Aculei scanalati
进化肌腱扩增	Evolvi Potenziamento muscolare
进化挤压蠕动	Evolvi Peristalsi propulsiva
扩大攻击范围	Portata d'attacco estesa
提高移动速度	Velocità di movimento aumentata
KD8型炸弹	KD8 Charge
选择幼虫	Seleziona Larva
磁场发射器	Lanciamissili a campo magnetico
侦测器模式	Assetto Osservatore
监察模式	Assetto di sorveglianza
变异腹囊	Evolvi Sacche ventrali
取消超距视界	Annulla Supervisione
超距视界	Supervisione
战术召回	Richiamo strategico
钻地鳞片	Scaglie sotterranee
灵能奔涌	Picco psionico
快速二次点火系统	Sistema d'iniezione rapido
强化弹药	Munizioni potenziate
精调炸弹	Esplosivi ricalibrati
建造修理无人机	Costruisci Drone riparatore
研究强化弹药	Ricerca Munizioni potenziate
反护甲飞弹	Missile anti-blindatura
研究护盾扩增	Ricerca Scudo amplificato
研究增能护盾	Ricerca Scudi amplificati
研究穿甲火箭	Ricerca Razzi perforanti
研究航母舱容	Ricerca Portastormo ampliata
研究高级通信阵列	Ricerca Sistema di comunicazioni avanzate
研究高速发射器	Ricerca Lanciamissili dinamico
研究暗影步	Ricerca Passo dell'ombra
