Chrono Boost Energy Cost	超時空加速能量消耗	1
Chrono Boost Energy Cost	Chrono Boost Energy Cost	1
Dark Templar Blink	黑暗聖堂武士 - 暗影步法	1
Dark Templar Blink	Dark Templar Blink	1
Lock On Air	鎖定對空目標	1
Lock On Air	Lock On Air	1
Nexus Shield Recharge	星核護盾充能	1
Nexus Shield Recharge	Nexus Shield Recharge	1
Repair	修復	3
Repair	Repair	2
Chrono Boost	超時空加速	3
Chrono Boost	Chrono Boost	2
Transfusion	輸血	2
Transfusion	Transfusion	1
Purification Nova	淨化光球	4
Purification Nova	Purification Nova	7
A tower that can be destroyed to prevent access to new areas or resource locations.	可被摧毀的石堆，可用以截斷通往新的區域或資源地點的進出路徑。	5
A tower that can be destroyed to prevent access to new areas or resource locations.	可被摧毀的建築，可用以截斷通往新的區域或資源地點的進出路徑。	4
Disruption Beam	Disruption Beam	2
Disruption Beam	干擾光束	1
Prismatic Beam	稜鏡光束	2
Prismatic Beam	Prismatic Beam	15
Mass Recall	群體召喚	2
Mass Recall	Mass Recall	5
Volatile Burst	Volatile Burst	3
Volatile Burst	蝕血瞬炸	2
Acid Spines	Acid Spines	2
Acid Spines	強酸脊刺	1
Weapons Free	自由開火	2
Weapons Free	Weapons Free	1
Heal	治療	2
Heal	Heal	1
Unload All	全部卸載	5
Unload All	卸載全部	1
ATA Laser Battery	ATA Laser Battery	2
ATA Laser Battery	ATA雷射砲	2
ATS Laser Battery	ATS Laser Battery	2
ATS Laser Battery	ATS雷射砲	2
C-10 Canister Rifle	C-10 Canister Rifle	1
C-10 Canister Rifle	C-10步槍	1
+~A~%	+~A~%	42
+~A~%	-~A~%	1
Longbolt Missile	Longbolt Missile	3
Longbolt Missile	神箭手飛彈	2
Needle Spines	Needle Spines	3
Needle Spines	針脊刺	2
Punisher Grenades	Punisher Grenades	4
Punisher Grenades	制裁者榴彈	2
BanelingStetmannJump	斯特曼毒爆蟲跳躍	1
BanelingStetmannJump	BanelingStetmannJump	1
F.A.S.T. Overload	飆速超載	3
F.A.S.T. Overload	F.A.S.T. Overload	1
Gary Orb	蓋瑞閃電球	1
Gary Orb	Gary Orb	3
H.U.G.S. Overload	護體超載	3
H.U.G.S. Overload	H.U.G.S. Overload	1
J.U.I.C.E. Overload	充能超載	3
J.U.I.C.E. Overload	J.U.I.C.E. Overload	1
Lurker Channeling Spines	遁地獸引導脊刺	1
Lurker Channeling Spines	Lurker Channeling Spines	3
Lurker Tunneling Burst	遁地獸穿隧爆發	1
Lurker Tunneling Burst	Lurker Tunneling Burst	8
Super Shield	超級護盾	1
Super Shield	Super Shield	1
Ultralisk Mechanical Life Leech	雷獸機械生命值吸收	1
Ultralisk Mechanical Life Leech	Ultralisk Mechanical Life Leech	2
Stetellite Production Level 2	斯特衛星產線等級2	1
Stetellite Production Level 2	斯特衛星製造等級2	1
Stetellite Production Level 3	斯特衛星產線等級3	1
Stetellite Production Level 3	斯特衛星製造等級3	1
Needle Claws	Needle Claws	1
Needle Claws	針爪	1
Parasite Spore	Parasite Spore	2
Parasite Spore	寄生孢子	2
Power Tower Overcharge	Power Tower Overcharge	1
Power Tower Overcharge	能量塔超載	3
Cloaking Field	匿蹤力場	4
Cloaking Field	Cloaking Field	1
EMP	電磁脈衝波	3
EMP	EMP	6
Feedback	潰蝕	2
Feedback	Feedback	3
Nuke	Nuke	5
Nuke	核彈	1
MutatorBuyCandy	異變機制 - 買糖果	1
MutatorBuyCandy	MutatorBuyCandy	1
