黑暗圣堂武士闪现	Parpadeo de Templario oscuro	1
黑暗圣堂武士闪现	Dark Templar Blink	1
星灵枢纽护盾充能	Recarga de escudos del Nexo	1
星灵枢纽护盾充能	Nexus Shield Recharge	1
恢复	Restitución	1
恢复	Restaurar	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Vehículo de asalto móvil. Puede usar Fijar objetivo para disparar rápidamente en movimiento.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>	1
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Vehículo de asalto móvil. Puede usar Fijar objetivo para disparar rápidamente en movimiento.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>	1
拦截机	Interceptores	3
拦截机	Interceptor	1
眼虫	Vigía Supremo	3
眼虫	Vigía supremo	2
脉冲光线	Pulsar Beam	1
脉冲光线	Rayo púlsar	4
灵能波	Estallido psiónico	1
灵能波	Explosión psiónica	1
预视	Envision	1
预视	Vislumbrar	2
先知武器	Oracle Weapon	1
先知武器	Oráculo - Arma	1
雷兽武器冷却时间	Ultralisk Weapon Cooldown	1
雷兽武器冷却时间	Tiempo de recuperación de arma de Ultralisco	1
虫群之心虚空辉光舰伤害提升	Void Ray Swarm Damage Boost	1
虫群之心虚空辉光舰伤害提升	Mantarraya del Vacío - Enjambre - Aumento de daño	1
虚空虹吸	Void Siphon	1
虚空虹吸	Sifón del vacío	2
光子过载	Sobrecarga de fotones	1
光子过载	Megacarga de fotones	1
猎杀飞弹	Misil buscador	3
猎杀飞弹	Buscador	1
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	Permite que las Langostas engendradas por el Huésped del Enjambre vuelen. Las Langostas voladoras pueden usar la habilidad Descenso en picada para aterrizar y atacar.	1
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用俯冲降落至地面进行攻击。	Las Langostas engendradas por el Huésped del Enjambre pueden volar y usar la habilidad Descenso en picada para aterrizar y atacar.	1
步兵研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 劫掠者<n/>- 建造幽灵军校可开启幽灵	Estructura de investigación de infantería. Cualquier estructura de producción puede albergar un Tecnolab.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Merodeadores<n/>- Fantasmas en la Academia de Fantasmas	1
步兵研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 劫掠者<n/>- 建造幽灵军校可开启幽灵	Estructura de investigación de infantería. Cualquier estructura de producción puede albergar un Tecnolab.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Merodeadores<n/>- Fantasmas con Academia de Fantasmas	1
重型攻击猛兽，可造成范围伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Bestia de asalto pesado que tiene ataque con daño de área.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>	1
重型攻击猛兽，可造成范围伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Bestia de asalto pesado que tiene ataque con daño de área.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>	1
岩石	Rocas	12
岩石	Roca	6
攻击该障碍物可将其摧毁	Atácalo para destruirlo	2
攻击该障碍物可将其摧毁	Ataca esto para destruirlo	14
联合指挥官	Comandantes aliados	1
联合指挥官	COMANDANTES ALIADOS	20
研发	Investigar	2
研发	INVESTIGAR	1
研发	INVESTIGACIÓN	1
攻城模式	Asedio	1
攻城模式	Modo Asedio	1
迷宫式隐形迷彩	Inmolación piroquinética	1
迷宫式隐形迷彩	Camuflaje laberíntico	2
大和炮	Cañón Yamato	2
大和炮	Disparador Yamato principal	2
大和炮	Yamato	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Nave de guerra poderosa de la Guardia Real. Usa Cañón Yamato y Salto táctico.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>	1
强大的皇家卫队战舰。可以使用大和炮与战术跳跃。在星港中建造。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Nave de guerra poderosa de la Guardia Real. Usa Cañón Yamato y Salto táctico. Se construye en el Puerto estelar.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>	1
建造在瓦斯气泉上，用于采集高能瓦斯。	Se transposiciona sobre un géiser de gas vespeno para permitir la recolección de este.	1
建造在瓦斯气泉上，用于采集高能瓦斯。	Se transposiciona sobre un géiser de gas vespeno para permitir la recolección de este gas.	1
建造在瓦斯气泉上，用于采集高能瓦斯。	Se construye sobre un géiser de gas vespeno para permitir la recolección de este.	3
建造在瓦斯气泉上，用于采集高能瓦斯。	Se construye sobre un géiser de gas vespeno para permitir la recolección de este gas.	1
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Atacante antiaéreo especializado. Puede ponerse un traje de Obrero.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>	1
专业对空攻击手。可以切换为劳工。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Atacante antiinfantería especializado. Puede ponerse un traje de Obrero.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>	1
攻城坦克	Tanque de Asedio	4
攻城坦克	Tanque de asedio	1
+~A~%	+~A~%	43
+~A~%	+ ~A~%	1
+~A~%	+~A~ por ciento	1
腐蚀喷液	Caustic Spray	1
腐蚀喷液	Rocío cáustico	1
Lurker Tunneling Burst	Explosión de excavación de Acechador	1
Lurker Tunneling Burst	Lurker Tunneling Burst	1
冲锋	Cargando	1
冲锋	Carga	2
艾星超载	Sobercarga Stetelital	2
艾星超载	Sobrecarga Stetelital	3
研究机械飞蝗截击机舱室	Investigar Plataformas de Mecalangosceptores	1
研究机械飞蝗截击机舱室	Investigar Plataforma de Mecalangosceptores	1
取消	Cancelar	10
取消	CANCELAR	4
爆炸	Explotar	2
爆炸	Fuego	1
