非晶态装甲云	무정형 방어구름
战列巡航舰攻击	전투순양함 공격
Battlecruiser Attack Evaluator	전투순양함 공격 평가
战列巡航舰移动	전투순양함 이동
战列巡航舰停止	전투순양함 정지
Battlecruiser Stop Evaluator	전투순양함 정지 평가
削减护甲	방어력 감쇠
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	저격 집중
黑暗圣坛研究	암흑 성소 연구
感染深渊研究	감염 구덩이 연구
Infestor Ensnare	감염충 속박
发射拦截机	요격기 발사
锁定空中	공중 목표물 고정
蝗虫 多人游戏飞行 飞扑攻击	식충 MP 비행 급강하 공격
潜伏者巢穴研究	가시지옥 굴 연구
潜伏者 移除 停火	가시지옥 공격 중지 제거
变异为具有装载功能的王虫	수송 대군주로 변태
星灵枢纽群体召回	연결체 대규모 귀환
Nexus Shield Overcharge	연결체 보호막 과충전
Nexus Shield Overcharge Off	연결체 보호막 과충전 끄기
Nexus Shield Recharge On Pylon	수정탑에 연결체 보호막 재충전
Observer Morph to Observer Siege	관측선이 관측선 공성으로 변신
Observer Siege Morph to Observer	관측선 공성이 관측선으로 변신
Overseer Morph to Overseer Siege Mode	감시군주가 감시군주 공성 모드로 변태
Overseer Siege Mode Morph to Overseer	감시군주 공성 모드가 감시군주로 변태
净化新星已定位	정화 폭발 대상 지정됨
修理无人机	수리 비행정
修理	수리
扰频飞弹	억제 미사일
粉碎飞弹	파쇄 미사일
星际争霸Ⅱ充能器	스타크래프트2 배터리
护盾充能	보호막 재충전
生成拦截机	요격기 생성
孵化蝗虫瞄准	식충 생성 대상
干扰冲击	붕괴 충격
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   지점 선택 후 자동 공격<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   취소
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	세균 장막
充能器超载	충전소 과충전
稳定瞄准	부동 조준
时空提速	시간 증폭
禁用拦截机	요격기 사용 안 함
缠绕	휘감기
拦截机限时生命	요격기 시한 생명
拦截机 漫游	요격기 방황
神经寄生子	신경 기생충 자식
星灵枢纽护盾超载	연결체 보호막 과충전
恢复力场	재충전장
正在折跃	소환 중
相位变换	위상 전환
干扰矩阵	방해 매트릭스
护甲降低	방어력 감소
反护甲飞弹追踪	대장갑 미사일 대상
共鸣之刃	공명 파열포
哺液	수혈
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	원거리 공격으로 받는 피해가 <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% 감소합니다.
恢复速度已提高，且不消耗能量。	보호막 회복률 증가 및 에너지를 소모하지 않음
该单位的护甲已被削减。	이 유닛은 방어력이 감소했습니다.
该单位正在专心地瞄准。	이 유닛은 신중하게 목표를 조준하고 있습니다.
该建筑当前处于加速运作状态。	이 구조물은 가속 상태입니다.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	대상이 진균 번식의 영향을 받아 모습이 드러나고 이동 속도가 제한됩니다.
该单位被困在了地面，其武器失效。	이 유닛은 지상으로 떨어져 무기가 비활성화되었습니다.
该单位的移动速度提高了。	이 유닛의 이동 속도가 증가했습니다.
该单位正受到感染者的控制。	이 유닛은 감염충이 조종하고 있습니다.
这个水晶塔可以为附近的友方单位恢复护盾。	이 수정탑은 주위 아군 유닛의 보호막을 재충전시킵니다.
单位的护盾正在恢复。	유닛의 보호막이 재충전됩니다.
该单位无敌并能穿过其它单位。	이 유닛은 무적 상태이며 다른 유닛을 통과하여 이동할 수 있습니다.
该水晶塔拥有强大的远程攻击能力。	이 수정탑은 강력한 원거리 공격 능력을 가지고 있습니다.
武器和技能被禁用。	무기 및 능력이 비활성화되었습니다.
该单位的护甲被降低了。	이 유닛은 방어력이 감소했습니다.
该单位正被一枚反护甲飞弹追踪。	이 유닛은 파쇄 미사일 대상으로 지정되었습니다.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	사도의 공격 속도가 <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>% 증가했습니다.
该单位已昏迷。	이 유닛은 기절했습니다.
该单位的攻击和移动速度降低50%。	이 유닛은 공격 및 이동 속도가 50%만큼 감소했습니다.
该单位正在持续恢复生命值。	이 유닛은 체력을 회복하는 중입니다.
静滞陷阱	정지장 덫
研究共鸣之刃	공명 파열포 연구
护盾扩增	보호막 증폭
航母舱容	우주모함 수용력
高级通信阵列	고급 통신 배열
地对空瞄准	지대공 조준
高速发射器	신속 발사기
研究电磁力场加速器	자기장 가속기 연구
暗影步	그림자 걸음
钻地之爪	천공 발톱
强化冲击波	향상된 충격파
进化微生物环绕云	세균 장막 진화
进化适应之爪	적응형 발톱 진화
进化深槽脊刺	가시 홈 진화
进化肌腱扩增	근육 보강 진화
进化挤压蠕动	추진적 연동 운동 진화
扩大攻击范围	공격 사거리 증가
提高移动速度	이동 속도 증가
KD8型炸弹	KD8 지뢰
选择幼虫	애벌레 선택
磁场发射器	자기장 발사기
侦测器模式	관측 모드
监察模式	감시 모드
变异腹囊	배주머니 변이
取消超距视界	감시 취소
超距视界	감시
战术召回	전략 소환
星灵枢纽护盾超载关闭	연결체 보호막 과충전 끄기
钻地鳞片	지하 비늘
灵能奔涌	사이오닉 쇄도
净化新星	정화 폭발
快速二次点火系统	고속 재점화 시스템
变异为破坏者	궤멸충으로 변태
强化弹药	강화 탄약
精调炸弹	재보정 폭발물
建造修理无人机	수리 비행정 생산
研究强化弹药	강화 탄약 연구
反护甲飞弹	대장갑 미사일
研究护盾扩增	보호막 증폭 연구
研究增能护盾	증폭 보호막 연구
研究穿甲火箭	방어구 관통 로켓 연구
研究航母舱容	우주모함 수용력 연구
研究高级通信阵列	고급 통신 배열 연구
研究高速发射器	신속 발사기 연구
研究暗影步	그림자 걸음 연구
研究强化冲击波	향상된 충격파 연구
研究磁场发射器	자기장 발사기 연구
研究灵能增幅	사이오닉 증폭기 연구
研究灵能奔涌	사이오닉 쇄도 연구
研究快速二次点火系统	고속 재점화 시스템 연구
研究精调炸弹	재보정 폭발물 연구
研究智能伺服器	지능형 제어 장치 연구
折跃护盾充能器	보호막 충전소 소환
充能	돌진
构造失稳器	구조 불안정장치
研究构造失稳器	구조 불안정장치 연구
升级精钢护甲	신소재 강철 장갑 업그레이드
潜伏	은폐
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	주위 적들을 <d ref="Behavior,OracleStasisTrapTarget,Duration"/>초 동안 정지장 안에 가둡니다. 갇힌 유닛은 공격당하지 않으며 능력의 영향을 받지도 않습니다.
使徒的攻击速度提高45%。	사도의 공격 속도가 45%만큼 증가합니다.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	<c val="ffff8a">사도</c>의 공격 속도가 45%만큼 증가합니다.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	장막으로 지상 유닛을 가려 공중 유닛으로부터 받는 피해를 <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% 감소시킵니다. <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>초 동안 지속됩니다.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	<c val="ffff8a">불사조</c>의 공격 사거리가 <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>만큼 증가합니다.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	군수공장과 우주공항에서 생산하는 유닛의 무기와 장갑을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 화염기갑병 (군수공장)<n/>- 토르 (군수공장)
