非晶态装甲云	Blindagem Nebulosa Amorfa
战列巡航舰攻击	Ataque do Cruzador de Batalha
Battlecruiser Attack Evaluator	Analisador de Ataque do Cruzador de Batalha
战列巡航舰移动	Movimento do Cruzador de Batalha
战列巡航舰停止	Parada do Cruzador de Batalha
Battlecruiser Stop Evaluator	Analisador de Parada do Cruzador de Batalha
削减护甲	Ignorar Armadura
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Disparo Canalizado
时空提速能量消耗	Custo de Energia de Reforço Temporal
黑暗圣坛研究	Pesquisa de Santuário das Trevas
黑暗圣堂武士闪现	Translação do Templário das Trevas
感染深渊研究	Pesquisar Fosso de infestação
Infestor Ensnare	Emaranhar do Infestador
发射拦截机	Lançar Interceptor
锁定空中	Travar Ar
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Pesquisa de Covil de Furtivo
潜伏者 移除 停火	Furtivo - Remover Cessar Fogo
变异为具有装载功能的王虫	Transmutar para Transporte - Suserano
星灵枢纽群体召回	Convocação em Massa do Nexus
Nexus Shield Overcharge	Sobrecarga de Escudos do Nexus
Nexus Shield Overcharge Off	Sobrecarga de Escudos do Nexus Desativada
星灵枢纽护盾充能	Recarga de Escudo do Nexus
Nexus Shield Recharge On Pylon	Escudo do Nexus: Recarregar no Pilar
Observer Morph to Observer Siege	Vigia - Transmutar para Vigia de Cerco
Observer Siege Morph to Observer	Vigia de Cerco - Transmutar para Vigia
Overseer Morph to Overseer Siege Mode	Supervigia - Transmutar em Supervigia em Modo Agressivo
Overseer Siege Mode Morph to Overseer	Supervigia em Modo Agressivo - Transmutar em Supervigia
净化新星已定位	Purification Nova Targetted
修理无人机	Drones de Conserto
修理	Consertar
扰频飞弹	Míssil Misturador
粉碎飞弹	Míssil Retalhador
护盾充能	Recarga de Escudo
生成拦截机	Gerar Interceptores
孵化蝗虫瞄准	Gerar Gafanhotos - Alvejado
干扰冲击	Impacto de Disrupção
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   no solo para atacar automaticamente<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
