非晶态装甲云	Amorphe Deckungswolke
战列巡航舰攻击	Battlecruiser Attack
Battlecruiser Attack Evaluator	Battlecruiser Attack Evaluator
战列巡航舰移动	Battlecruiser Move
战列巡航舰停止	Battlecruiser Stop
Battlecruiser Stop Evaluator	Battlecruiser Stop Evaluator
Bypass Armor Drone CU	Bypass Armor Drone CU
引导狙击	Channel Snipe
时空提速能量消耗	Chrono Boost Energy Cost
黑暗圣坛研究	Dark Shrine Research
黑暗圣堂武士闪现	Dark Templar Blink
感染深渊研究	Infestation Pit Research
Infestor Ensnare	Infestor Ensnare
发射拦截机	Interceptor-Start
锁定空中	Luftziel-Anvisierung
蝗虫 多人游戏飞行 飞扑攻击	Locust MP Flying Swoop Attack
潜伏者巢穴研究	Lurker Den Research
潜伏者 移除 停火	Lurker Remove Hold Fire
变异为具有装载功能的王虫	Morph To Transport Overlord
星灵枢纽群体召回	Nexus Mass Recall
Nexus Shield Overcharge	Nexus Shield Overcharge
Nexus Shield Overcharge Off	Nexus Shield Overcharge Off
星灵枢纽护盾充能	Nexus Shield Recharge
Nexus Shield Recharge On Pylon	Nexus Shield Recharge On Pylon
Observer Morph to Observer Siege	Observer Morph to Observer Siege
Observer Siege Morph to Observer	Observer Siege Morph to Observer
Overseer Morph to Overseer Siege Mode	Overseer Morph to Overseer Siege Mode
Overseer Siege Mode Morph to Overseer	Overseer Siege Mode Morph to Overseer
净化新星已定位	Purification Nova Targetted
修理无人机	Reparaturdrohnen
扰频飞弹	Scrambler Missile
粉碎飞弹	Shredder Missile
护盾充能	Schildwiederaufladung
生成拦截机	Spawn Interceptors
孵化蝗虫瞄准	Spawn Locusts Targeted
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   地面自动攻击<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   auf den Boden als automatischer Angriff<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Abbrechen
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Mikrobischer Schleier
充能器超载	Batterieüberladung
稳定瞄准	Sicheres Zielen
禁用拦截机	Interceptoren deaktivieren
缠绕	Umschlingen
拦截机限时生命	Interceptor - Begrenzte Lebenszeit
拦截机 漫游	Interceptor - Wandern
恢复力场	Schildladungsfeld
正在折跃	Warpt
干扰矩阵	Störmatrix
护甲降低	Verringerte Panzerung
反护甲飞弹追踪	Von Panzerabwehrrakete erfasst
共鸣之刃	Resonanzgleven
哺液	Transfusion
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	Erlittener Distanzschaden um <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% verringert.
恢复速度已提高，且不消耗能量。	Schildwiederherstellungsrate erhöht. Verbraucht keine Energie.
该单位的护甲已被削减。	Die Panzerung dieser Einheit ist verringert.
该单位正在专心地瞄准。	Diese Einheit zielt sehr sorgsam.
该建筑当前处于加速运作状态。	Dieses Gebäude wird beschleunigt.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	Das Ziel leidet unter Pilzbefall. Das Ziel ist aufgedeckt und seine Beweglichkeit ist eingeschränkt.
该单位被困在了地面，其武器失效。	Diese Einheit wurde auf den Boden gezwungen und kann nicht mehr angreifen.
该单位的移动速度提高了。	Die Bewegungsgeschwindigkeit dieser Einheit ist erhöht.
该单位正受到感染者的控制。	Diese Einheit wird von einem Verseucher kontrolliert.
这个水晶塔可以为附近的友方单位恢复护盾。	Dieser Pylon lädt die Schilde verbündeter Einheiten in der Nähe auf.
单位的护盾正在恢复。	Die Schilde dieser Einheit werden aufgeladen.
该单位无敌并能穿过其它单位。	Diese Einheit ist unverwundbar und kann sich durch andere Einheiten hindurchbewegen.
该水晶塔拥有强大的远程攻击能力。	Dieser Pylon verfügt über einen mächtigen Langstreckenangriff.
武器和技能被禁用。	Waffen und Fähigkeiten sind deaktiviert.
该单位的护甲被降低了。	Die Panzerung dieser Einheit ist verringert.
该单位正被一枚反护甲飞弹追踪。	Diese Einheit wird von einer Panzerabwehrrakete anvisiert.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Die Angriffsgeschwindigkeit des Adepten ist um <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>% erhöht.
该单位已昏迷。	Diese Einheit ist betäubt.
该单位的攻击和移动速度降低50%。	Die Angriffs- und Bewegungsgeschwindigkeit dieser Einheit sind um 50% verringert.
该单位正在持续恢复生命值。	Die Einheit regeneriert Trefferpunkte.
静滞陷阱	Stasisfalle
研究共鸣之刃	Resonanzgleven erforschen
护盾扩增	Schildverstärkung
航母舱容	Trägerkapazität
高级通信阵列	Verbesserte Kommunikationsanlage
地对空瞄准	Luftziele erfassen
高速发射器	Schnellfeuermechanismus
研究电磁力场加速器	Magnetfeldbeschleuniger erforschen
暗影步	Schattenflucht
钻地之爪	Bohrkrallen
强化冲击波	Verbesserte Schockwellen
进化微生物环绕云	Mikrobischen Schleier entwickeln
进化适应之爪	Adaptive Krallen entwickeln
进化深槽脊刺	Stachelprofil entwickeln
进化肌腱扩增	Muskelfaserverstärkung entwickeln
进化挤压蠕动	Peristaltische Beschleunigung entwickeln
扩大攻击范围	Erhöhte Angriffsreichweite
提高移动速度	Erhöhte Bewegungsgeschwindigkeit
选择幼虫	Larve wählen
磁场发射器	Magnetfeldwerfer
侦测器模式	Beobachtermodus
监察模式	Überwachungsmodus
变异腹囊	Bauchbeutelmetamorphose
取消超距视界	Spionage abbrechen
超距视界	Spionage
战术召回	Strategischer Rückruf
钻地鳞片	Unterirdische Schuppen
灵能奔涌	Psionischer Aufprall
快速二次点火系统	Schnelldurchzündungssystem
强化弹药	Verbesserte Munition
精调炸弹	Verbesserte Sprengladung
建造修理无人机	Reparaturdrohne bauen
研究强化弹药	Verbesserte Munition erforschen
反护甲飞弹	Panzerabwehrrakete
